targetId,drugId,maxClinicalStage
ENSG00000178127,CHEMBL1703,APPROVAL
ENSG00000168653,CHEMBL1703,APPROVAL
ENSG00000198695,CHEMBL1703,APPROVAL
ENSG00000186010,CHEMBL1703,APPROVAL
ENSG00000198763,CHEMBL1703,APPROVAL
ENSG00000115159,CHEMBL1703,APPROVAL
ENSG00000167792,CHEMBL1703,APPROVAL
ENSG00000170906,CHEMBL1703,APPROVAL
ENSG00000164182,CHEMBL1703,APPROVAL
ENSG00000198840,CHEMBL1703,APPROVAL
ENSG00000158864,CHEMBL1703,APPROVAL
ENSG00000145494,CHEMBL1703,APPROVAL
ENSG00000212907,CHEMBL1703,APPROVAL
ENSG00000115286,CHEMBL1703,APPROVAL
ENSG00000166136,CHEMBL1703,APPROVAL
ENSG00000065518,CHEMBL1703,APPROVAL
ENSG00000023228,CHEMBL1703,APPROVAL
ENSG00000198888,CHEMBL1703,APPROVAL
ENSG00000147123,CHEMBL1703,APPROVAL
ENSG00000119013,CHEMBL1703,APPROVAL
ENSG00000136521,CHEMBL1703,APPROVAL
ENSG00000109390,CHEMBL1703,APPROVAL
ENSG00000147684,CHEMBL1703,APPROVAL
ENSG00000099795,CHEMBL1703,APPROVAL
ENSG00000184983,CHEMBL1703,APPROVAL
ENSG00000164258,CHEMBL1703,APPROVAL
ENSG00000151366,CHEMBL1703,APPROVAL
ENSG00000160194,CHEMBL1703,APPROVAL
ENSG00000185633,CHEMBL1703,APPROVAL
ENSG00000123545,CHEMBL1703,APPROVAL
ENSG00000198886,CHEMBL1703,APPROVAL
ENSG00000184752,CHEMBL1703,APPROVAL
ENSG00000125356,CHEMBL1703,APPROVAL
ENSG00000137806,CHEMBL1703,APPROVAL
ENSG00000174886,CHEMBL1703,APPROVAL
ENSG00000128609,CHEMBL1703,APPROVAL
ENSG00000165264,CHEMBL1703,APPROVAL
ENSG00000198786,CHEMBL1703,APPROVAL
ENSG00000130414,CHEMBL1703,APPROVAL
ENSG00000213619,CHEMBL1703,APPROVAL
ENSG00000178057,CHEMBL1703,APPROVAL
ENSG00000131495,CHEMBL1703,APPROVAL
ENSG00000103546,CHEMBL1722,APPROVAL
ENSG00000142319,CHEMBL1722,APPROVAL
ENSG00000113749,CHEMBL2110372,APPROVAL
ENSG00000176014,CHEMBL428647,APPROVAL
ENSG00000198033,CHEMBL428647,APPROVAL
ENSG00000167553,CHEMBL428647,APPROVAL
ENSG00000137267,CHEMBL428647,APPROVAL
ENSG00000104833,CHEMBL428647,APPROVAL
ENSG00000152086,CHEMBL428647,APPROVAL
ENSG00000167552,CHEMBL428647,APPROVAL
ENSG00000261456,CHEMBL428647,APPROVAL
ENSG00000127824,CHEMBL428647,APPROVAL
ENSG00000196230,CHEMBL428647,APPROVAL
ENSG00000137285,CHEMBL428647,APPROVAL
ENSG00000258947,CHEMBL428647,APPROVAL
ENSG00000123416,CHEMBL428647,APPROVAL
ENSG00000188229,CHEMBL428647,APPROVAL
ENSG00000101162,CHEMBL428647,APPROVAL
ENSG00000151090,CHEMBL2103741,APPROVAL
ENSG00000126351,CHEMBL2103741,APPROVAL
ENSG00000113580,CHEMBL1152,APPROVAL
ENSG00000095303,CHEMBL1200806,APPROVAL
ENSG00000073756,CHEMBL1200806,APPROVAL
ENSG00000112038,CHEMBL1201777,APPROVAL
ENSG00000103546,CHEMBL1201777,APPROVAL
ENSG00000087085,CHEMBL1678,APPROVAL
ENSG00000103546,CHEMBL1200328,APPROVAL
ENSG00000108576,CHEMBL1200328,APPROVAL
ENSG00000005961,CHEMBL1174,APPROVAL
ENSG00000259207,CHEMBL1174,APPROVAL
ENSG00000160752,CHEMBL675,APPROVAL
ENSG00000103546,CHEMBL796,APPROVAL
ENSG00000142319,CHEMBL796,APPROVAL
ENSG00000074803,CHEMBL1072,APPROVAL
ENSG00000169313,CHEMBL398435,APPROVAL
ENSG00000159640,CHEMBL1168,APPROVAL
ENSG00000113161,CHEMBL690,APPROVAL
ENSG00000111424,CHEMBL1536,APPROVAL
ENSG00000144891,CHEMBL995,APPROVAL
ENSG00000159640,CHEMBL419213,APPROVAL
ENSG00000106348,CHEMBL1643,APPROVAL
ENSG00000204681,CHEMBL701,APPROVAL
ENSG00000136928,CHEMBL701,APPROVAL
ENSG00000147246,CHEMBL85,APPROVAL
ENSG00000102468,CHEMBL85,APPROVAL
ENSG00000149295,CHEMBL85,APPROVAL
ENSG00000128059,CHEMBL1542,APPROVAL
